dt,absolute_humidity,accxnegmax,accxposmax,accynegmax,accyposmax,accznegmax,acczposmax,batt,co2,dewpoint,fdebug1,fdebug2,fdebug3,humidity,laeqx,lafmax,lafmin,light,pm10p0,pm1p0,pm2p5,pm4p0,pressure,rsrp,shock,snr,temperature,tvoc,tvoc_density,uptime
2024-11-26 12:34:22.946Z,7.361314855736629,,,,,,,30,604,6.9906282,153984576,84736.0390625,531.7940673828125,38.34843444824219,48.227813720703125,55.85242843627929,36.43716430664062,1820.0,,,,,987.4025268554688,-88.0,,3.0,21.816968917846676,23,43.671443939208984,1281121
2024-11-26 12:44:22.941Z,7.318087256735922,,,,,,,30,604,6.9046187,153984576,85219.984375,524.3829345703125,38.12908935546875,48.459251403808594,56.79065322875976,36.38236236572265,1876.0,2.248782396316528,0.5370600819587706,1.3246010541915894,1.9400508403778076,987.4525146484375,-96.0,,5.0,21.81429672241211,22,42.82508850097656,1281721
2024-11-26 12:54:24.460Z,7.293671132386534,,,,,,,30,603,6.8567505,157839568,85255.6328125,518.8079833984375,37.96694946289062,49.174591064453125,60.621807098388665,37.33841705322265,2016.0,,,,,987.3920288085938,-88.0,,6.0,21.830318450927734,22,41.383506774902344,1282323
2024-11-26 13:04:22.944Z,7.296301346614994,,,,,,,30,604,6.859925,153984576,85063.2421875,523.7586669921875,38.06805419921875,48.49819946289062,58.61265563964844,36.487518310546875,1652.0,,,,,987.47216796875,-89.0,,9.0,21.79026412963867,22,42.17257308959961,1282921
2024-11-26 13:14:23.136Z,7.315595413360056,,,,,,,30,604,6.902564,153984576,85098.8515625,522.7774658203125,37.99365234375,55.74292373657226,71.22486114501952,36.930740356445305,1652.0,,,,,987.5240478515625,-98.0,,2.0,21.87037467956543,22,42.13782119750976,1283521
2024-11-26 13:34:23.118Z,7.285294199081544,,,,,,,30,603,6.840424,141856512,80843.8203125,602.83203125,37.90591430664062,48.1142349243164,54.7011375427246,36.93434143066406,1372.0,,,,,987.92236328125,-99.0,,4.0,21.838329315185547,29,54.93411636352538,1284721
2024-11-26 13:44:23.026Z,7.255659693109177,,,,,,,30,603,6.781754,145122528,80705.4453125,600.587890625,37.72280883789062,48.4046630859375,54.58441925048828,37.37042999267578,1400.0,0.6737092137336731,0.637100100517273,0.6737091541290282,0.6737092137336731,988.0354614257812,-89.0,,7.0,21.851682662963867,29,55.62993621826171,1285321
2024-11-26 13:54:22.939Z,7.230073739903114,,,,,,,30,602,6.7326794,146812496,81412.515625,582.1405029296875,37.492019653320305,49.20947265625,71.37356567382811,36.984886169433594,1372.0,,,,,988.11376953125,-99.0,,2.0,21.8970775604248,28,53.214729309082024,1285921
2024-11-26 14:04:23.027Z,7.1243650479196825,,,,,,,30,595,6.515463,153984576,83110.6875,544.157470703125,37.06858825683594,48.200927734375,55.2363052368164,36.592666625976555,1344.0,,,,,988.1973266601562,-93.0,,3.0,21.838329315185547,25,47.3699951171875,1286521
2024-11-26 14:14:23.104Z,7.091420848065983,,,,,,,30,581,6.447591,157839568,84686.3125,513.9881591796875,36.9197998046875,47.8901138305664,52.92375183105469,36.65607452392578,1092.0,,,,,988.1314086914062,-97.0,,3.0,21.827648162841793,22,42.328094482421875,1287121
2024-11-26 14:24:23.180Z,7.0679740264804956,,,,,,,30,556,6.399511,157839568,85020.5234375,505.758056640625,36.7977294921875,47.784500122070305,52.33294677734375,35.99810028076171,1204.0,,,,,988.2637329101562,-98.0,,3.0,21.827648162841793,21,40.585994720458984,1287721
2024-11-26 14:34:22.621Z,7.038306092797209,,,,,,,30,535,6.3357115,161892240,85684.03125,492.5885009765625,36.75576782226562,47.74516296386719,52.846878051757805,36.203460693359375,1120.0,,,,,988.5193481445312,-88.0,,6.0,21.774242401123047,20,38.15420913696288,1288321
2024-11-26 14:44:23.124Z,7.11788169100864,,,,,,,30,533,6.5001645,157839568,86106.4921875,485.0030517578125,37.120086669921875,48.643447875976555,60.333869934082024,36.6349868774414,1176.0,3.6805446147918697,1.938061475753784,2.7837135791778564,3.380950450897217,988.7164306640625,-101.0,,0.0,21.79827499389648,19,36.66504669189453,1288921
2024-11-26 14:54:22.546Z,7.14563227310657,,,,,,,30,551,6.558638,161892240,86573.2890625,478.93408203125,37.1849365234375,48.08854675292969,61.64946746826171,36.576736450195305,1288.0,,,,,988.9425048828125,-90.0,,9.0,21.835660934448242,18,35.63769912719726,1289521
2024-11-26 15:04:22.540Z,7.149333761943755,,,,,,,30,569,6.5643682,159840256,85855.7421875,490.4124755859375,37.278396606445305,48.420135498046875,67.11850738525389,36.382041931152344,1344.0,,,,,989.1587524414062,-88.0,,5.0,21.800945281982422,19,36.9842300415039,1290121
2024-11-26 15:14:22.541Z,7.157747296430099,,,,,,,30,587,6.5813255,159840256,86185.3828125,486.081787109375,37.32798767089844,50.24407958984375,69.6601791381836,36.46918487548828,1232.0,,,,,989.2926635742188,-89.0,,2.0,21.79827499389648,19,36.29727554321289,1290721
2024-11-26 15:24:22.619Z,7.184466595699694,,,,,,,30,606,6.63633,159840256,86594.875,478.5916748046875,37.43289184570312,51.74726104736328,70.40719604492188,36.648025512695305,1232.0,,,,,989.3903198242188,-87.0,,5.0,21.81429672241211,18,35.01648712158203,1291321
2024-11-26 15:34:22.780Z,7.187790186328117,,,,,,,30,622,6.644992,155888272,85369.75,498.62744140625,37.369949340820305,49.213821411132805,63.88971710205078,36.84751892089843,1400.0,,,,,989.3523559570312,-88.0,,8.0,21.851682662963867,19,37.502124786376946,1291921
2024-11-26 15:44:22.621Z,7.1881561011218045,,,,,,,30,631,6.646976,153984576,85376.8828125,501.9993896484375,37.32035827636719,48.540611267089844,64.17936706542969,36.47930145263671,1232.0,0.7944886088371276,0.7513163089752196,0.794488489627838,0.7944886088371276,989.4990844726562,-89.0,,4.0,21.8757152557373,20,38.387046813964844,1292521
2024-11-26 15:54:22.620Z,7.163894922423674,,,,,,,30,639,6.5982275,153984576,85519.6640625,498.0791015625,37.17730712890625,47.8580322265625,54.20751571655273,36.252586364746094,1316.0,,,,,989.6095581054688,-88.0,,4.0,21.883726119995114,20,37.6742820739746,1293121
2024-11-26 16:04:22.626Z,7.165746629695144,,,,,,,30,641,6.6015706,155888272,85934.5,489.97021484375,37.204010009765625,48.07232666015625,55.473384857177734,36.337173461914055,1288.0,,,,,989.6342163085938,-90.0,,8.0,21.8757152557373,19,36.3005142211914,1293721
